,precision,recall,f1-score,support
Insufficient_Weight,1.0,1.0,1.0,53.0
Normal_Weight,0.9821428571428571,0.9649122807017544,0.9734513274336283,57.0
Obesity_Type_I,0.9857142857142858,0.9857142857142858,0.9857142857142858,70.0
Obesity_Type_II,1.0,1.0,1.0,60.0
Obesity_Type_III,1.0,1.0,1.0,65.0
Overweight_Level_I,0.9622641509433962,0.9272727272727272,0.9444444444444444,55.0
Overweight_Level_II,0.9344262295081968,0.9827586206896551,0.957983193277311,58.0
accuracy,0.9808612440191388,0.9808612440191388,0.9808612440191388,0.9808612440191388
macro avg,0.9806496461869623,0.980093987768346,0.9802276072670957,418.0
weighted avg,0.9811085944270457,0.9808612440191388,0.9808473572206826,418.0
